tv_name,weekday,timeslot,number_of_tickets,Date
StellarWave A9,Monday,12-16,63,2024-01-01
Luminor Arc 65,Tuesday,8-12,259,2023-12-26
Luminor Arc 65,Sunday,0-8,1,2023-12-24
Luminor Arc 65,Sunday,16-20,1,2023-12-17
Luminor Arc 65,Tuesday,12-16,261,2023-12-12
StellarWave A9,Sunday,12-16,49,2023-12-10
StellarWave A9,Saturday,12-16,70,2023-12-09
StellarWave A9,Sunday,8-12,233,2023-12-03
StellarWave A9,Tuesday,8-12,1,2023-11-28
StellarWave A9,Thursday,12-16,94,2023-11-23
Luminor Arc 65,Saturday,20-24,5,2023-11-18
StellarWave A9,Monday,20-24,263,2023-11-13
StellarWave A9,Wednesday,12-16,70,2023-11-08
Luminor Arc 65,Tuesday,8-12,253,2023-11-07
StellarWave A9,Tuesday,8-12,3,2023-10-31
StellarWave A9,Tuesday,20-24,274,2023-10-24
StellarWave A9,Thursday,0-8,0,2023-10-19
StellarWave A9,Saturday,0-8,286,2023-10-14
StellarWave A9,Sunday,12-16,71,2023-10-08
StellarWave A9,Wednesday,8-12,3,2023-10-04
Luminor Arc 65,Tuesday,16-20,1,2023-10-03
StellarWave A9,Friday,0-8,1,2023-09-29
Luminor Arc 65,Thursday,20-24,2,2023-09-28
Luminor Arc 65,Wednesday,20-24,0,2023-09-27
Luminor Arc 65,Monday,16-20,4,2023-09-25
StellarWave A9,Saturday,8-12,212,2023-09-23
Luminor Arc 65,Monday,0-8,3,2023-09-18
StellarWave A9,Monday,20-24,228,2023-09-11
StellarWave A9,Thursday,12-16,85,2023-09-07
StellarWave A9,Tuesday,8-12,1,2023-09-05
StellarWave A9,Sunday,12-16,71,2023-09-03
Luminor Arc 65,Friday,8-12,296,2023-09-01
StellarWave A9,Wednesday,0-8,0,2023-08-30
StellarWave A9,Thursday,20-24,264,2023-08-24
Luminor Arc 65,Tuesday,0-8,0,2023-08-22
Luminor Arc 65,Saturday,20-24,1,2023-08-19
StellarWave A9,Wednesday,12-16,75,2023-08-16
StellarWave A9,Tuesday,12-16,60,2023-08-15
StellarWave A9,Saturday,8-12,235,2023-08-12
StellarWave A9,Monday,16-20,183,2023-08-07
StellarWave A9,Saturday,8-12,235,2023-08-05
StellarWave A9,Friday,20-24,248,2023-08-04
Luminor Arc 65,Tuesday,20-24,3,2023-08-01
StellarWave A9,Thursday,12-16,100,2023-07-27
Luminor Arc 65,Monday,12-16,229,2023-07-24
Luminor Arc 65,Tuesday,0-8,1,2023-07-18
StellarWave A9,Wednesday,12-16,73,2023-07-12
StellarWave A9,Friday,8-12,1,2023-07-07
Luminor Arc 65,Thursday,20-24,2,2023-07-06
StellarWave A9,Tuesday,12-16,67,2023-07-04
Luminor Arc 65,Thursday,12-16,261,2023-06-29
Luminor Arc 65,Monday,16-20,2,2023-06-26
Luminor Arc 65,Tuesday,8-12,252,2023-06-20
Luminor Arc 65,Sunday,20-24,1,2023-06-18
Luminor Arc 65,Saturday,8-12,0,2023-06-17
StellarWave A9,Sunday,0-8,250,2023-06-11
Luminor Arc 65,Friday,16-20,3,2023-06-09
Luminor Arc 65,Friday,12-16,273,2023-06-02
Luminor Arc 65,Monday,20-24,1,2023-05-29
Luminor Arc 65,Wednesday,0-8,1,2023-05-24
Luminor Arc 65,Friday,12-16,257,2023-05-19
Luminor Arc 65,Sunday,20-24,1,2023-05-14
StellarWave A9,Tuesday,20-24,253,2023-05-09
Luminor Arc 65,Thursday,8-12,300,2023-05-04
Luminor Arc 65,Sunday,8-12,0,2023-04-30
Luminor Arc 65,Sunday,12-16,4,2023-04-23
StellarWave A9,Saturday,8-12,232,2023-04-22
StellarWave A9,Wednesday,20-24,237,2023-04-19
Luminor Arc 65,Friday,16-20,0,2023-04-14
Luminor Arc 65,Sunday,16-20,1,2023-04-09
StellarWave A9,Thursday,12-16,77,2023-04-06
Luminor Arc 65,Wednesday,20-24,1,2023-04-05
StellarWave A9,Saturday,12-16,84,2023-04-01
StellarWave A9,Saturday,12-16,78,2023-03-25
Luminor Arc 65,Saturday,0-8,11,2023-03-18
StellarWave A9,Tuesday,12-16,57,2023-03-14
Luminor Arc 65,Saturday,12-16,0,2023-03-11
StellarWave A9,Wednesday,16-20,227,2023-03-08
Luminor Arc 65,Wednesday,16-20,0,2023-03-01
Luminor Arc 65,Thursday,20-24,3,2023-02-23
StellarWave A9,Wednesday,12-16,56,2023-02-22
Luminor Arc 65,Tuesday,0-8,2,2023-02-21
StellarWave A9,Wednesday,16-20,212,2023-02-15
StellarWave A9,Sunday,12-16,76,2023-02-12
StellarWave A9,Friday,12-16,107,2023-02-10
Luminor Arc 65,Monday,16-20,0,2023-02-06
StellarWave A9,Saturday,20-24,1,2023-02-04
StellarWave A9,Monday,20-24,256,2023-01-30
StellarWave A9,Sunday,16-20,1,2023-01-29
Luminor Arc 65,Thursday,12-16,271,2023-01-26
Luminor Arc 65,Friday,16-20,0,2023-01-20
Luminor Arc 65,Monday,12-16,220,2023-01-16
StellarWave A9,Friday,12-16,102,2023-01-13
Luminor Arc 65,Monday,8-12,256,2023-01-09
StellarWave A9,Sunday,0-8,293,2023-01-08
Luminor Arc 65,Monday,12-16,228,2023-01-02
StellarWave A9,Thursday,12-16,76,2022-12-29
StellarWave A9,Saturday,0-8,285,2022-12-24
Luminor Arc 65,Monday,8-12,253,2022-12-19
Luminor Arc 65,Wednesday,16-20,2,2022-12-14
StellarWave A9,Friday,20-24,281,2022-12-09
Luminor Arc 65,Saturday,16-20,0,2022-12-03
StellarWave A9,Sunday,16-20,1,2022-11-27
Luminor Arc 65,Friday,16-20,1,2022-11-25
StellarWave A9,Monday,20-24,234,2022-11-21
StellarWave A9,Wednesday,16-20,224,2022-11-16
StellarWave A9,Sunday,8-12,205,2022-11-13
Luminor Arc 65,Monday,16-20,0,2022-11-07
StellarWave A9,Thursday,0-8,1,2022-11-03
Luminor Arc 65,Thursday,8-12,282,2022-10-27
Luminor Arc 65,Sunday,0-8,9,2022-10-23
StellarWave A9,Saturday,12-16,76,2022-10-22
StellarWave A9,Friday,0-8,1,2022-10-21
Luminor Arc 65,Tuesday,0-8,0,2022-10-18
StellarWave A9,Friday,12-16,91,2022-10-14
StellarWave A9,Thursday,0-8,2,2022-10-13
Luminor Arc 65,Saturday,12-16,3,2022-10-08
StellarWave A9,Friday,12-16,105,2022-10-07
StellarWave A9,Wednesday,20-24,227,2022-10-05
Luminor Arc 65,Saturday,8-12,0,2022-10-01
StellarWave A9,Sunday,16-20,1,2022-09-25
Luminor Arc 65,Friday,16-20,1,2022-09-23
Luminor Arc 65,Wednesday,16-20,2,2022-09-21
Luminor Arc 65,Tuesday,12-16,217,2022-09-20
StellarWave A9,Tuesday,16-20,205,2022-09-13
StellarWave A9,Sunday,12-16,80,2022-09-11
StellarWave A9,Sunday,16-20,2,2022-09-04
StellarWave A9,Tuesday,0-8,1,2022-08-30
StellarWave A9,Wednesday,0-8,0,2022-08-24
Luminor Arc 65,Friday,16-20,0,2022-08-19
Luminor Arc 65,Saturday,20-24,0,2022-08-13
StellarWave A9,Tuesday,8-12,0,2022-08-09
Luminor Arc 65,Thursday,8-12,298,2022-08-04
Luminor Arc 65,Friday,20-24,0,2022-07-29
Luminor Arc 65,Thursday,12-16,247,2022-07-28
StellarWave A9,Thursday,0-8,1,2022-07-21
Luminor Arc 65,Saturday,8-12,0,2022-07-16
Luminor Arc 65,Saturday,12-16,6,2022-07-09
StellarWave A9,Tuesday,20-24,254,2022-07-05
Luminor Arc 65,Saturday,0-8,12,2022-07-02
Luminor Arc 65,Thursday,0-8,2,2022-06-30
StellarWave A9,Friday,0-8,2,2022-06-24
Luminor Arc 65,Wednesday,16-20,0,2022-06-22
Luminor Arc 65,Thursday,8-12,259,2022-06-16
StellarWave A9,Sunday,8-12,213,2022-06-12
StellarWave A9,Sunday,0-8,275,2022-06-05
StellarWave A9,Sunday,12-16,78,2022-05-29
Luminor Arc 65,Sunday,0-8,0,2022-05-22
Luminor Arc 65,Wednesday,0-8,0,2022-05-18
StellarWave A9,Tuesday,16-20,238,2022-05-17
Luminor Arc 65,Monday,0-8,1,2022-05-16
StellarWave A9,Saturday,12-16,93,2022-05-14
StellarWave A9,Friday,20-24,268,2022-05-13
StellarWave A9,Tuesday,16-20,209,2022-05-10
StellarWave A9,Tuesday,20-24,268,2022-05-03
StellarWave A9,Saturday,16-20,1,2022-04-30
StellarWave A9,Sunday,12-16,56,2022-04-24
Luminor Arc 65,Tuesday,0-8,0,2022-04-19
Luminor Arc 65,Tuesday,20-24,2,2022-04-12
Luminor Arc 65,Monday,16-20,2,2022-04-11
StellarWave A9,Friday,12-16,115,2022-04-08
Luminor Arc 65,Monday,0-8,1,2022-04-04
StellarWave A9,Friday,20-24,276,2022-04-01
StellarWave A9,Sunday,0-8,253,2022-03-27
Luminor Arc 65,Tuesday,16-20,0,2022-03-22
StellarWave A9,Friday,20-24,272,2022-03-18
StellarWave A9,Friday,20-24,245,2022-03-11
Luminor Arc 65,Thursday,8-12,289,2022-03-10
Luminor Arc 65,Saturday,16-20,2,2022-03-05
StellarWave A9,Tuesday,0-8,0,2022-03-01
StellarWave A9,Thursday,20-24,248,2022-02-24
Luminor Arc 65,Saturday,8-12,0,2022-02-19
Luminor Arc 65,Tuesday,16-20,1,2022-02-15
StellarWave A9,Wednesday,20-24,274,2022-02-09
StellarWave A9,Friday,12-16,111,2022-02-04
StellarWave A9,Sunday,20-24,1,2022-01-30
Luminor Arc 65,Monday,0-8,1,2022-01-24
StellarWave A9,Monday,20-24,231,2022-01-17
StellarWave A9,Monday,8-12,3,2022-01-10
Luminor Arc 65,Saturday,20-24,1,2022-01-08
Luminor Arc 65,Friday,12-16,278,2022-01-07
StellarWave A9,Saturday,8-12,241,2022-01-01
Luminor Arc 65,Friday,0-8,3,2021-12-31
StellarWave A9,Wednesday,16-20,239,2021-12-29
Luminor Arc 65,Saturday,8-12,1,2021-12-25
Luminor Arc 65,Saturday,8-12,2,2021-12-18
StellarWave A9,Monday,8-12,2,2021-12-13
Luminor Arc 65,Friday,0-8,3,2021-12-10
StellarWave A9,Monday,0-8,0,2021-12-06
Luminor Arc 65,Thursday,0-8,0,2021-12-02
Luminor Arc 65,Sunday,12-16,0,2021-11-28
StellarWave A9,Wednesday,20-24,244,2021-11-24
Luminor Arc 65,Sunday,0-8,0,2021-11-21
StellarWave A9,Sunday,12-16,43,2021-11-14
StellarWave A9,Tuesday,8-12,3,2021-11-09
Luminor Arc 65,Saturday,0-8,5,2021-11-06
Luminor Arc 65,Wednesday,20-24,2,2021-11-03
StellarWave A9,Friday,20-24,301,2021-10-29
StellarWave A9,Wednesday,20-24,274,2021-10-27
Luminor Arc 65,Friday,20-24,0,2021-10-22
StellarWave A9,Sunday,16-20,1,2021-10-17
StellarWave A9,Thursday,0-8,0,2021-10-14
StellarWave A9,Thursday,16-20,219,2021-10-07
StellarWave A9,Saturday,12-16,69,2021-10-02
Luminor Arc 65,Friday,0-8,2,2021-10-01
Luminor Arc 65,Friday,16-20,0,2021-09-24
StellarWave A9,Saturday,0-8,299,2021-09-18
Luminor Arc 65,Monday,16-20,2,2021-09-13
Luminor Arc 65,Monday,16-20,1,2021-09-06
Luminor Arc 65,Thursday,20-24,1,2021-09-02
StellarWave A9,Monday,16-20,230,2021-08-30
StellarWave A9,Thursday,8-12,3,2021-08-26
Luminor Arc 65,Thursday,20-24,1,2021-08-19
Luminor Arc 65,Wednesday,12-16,229,2021-08-18
Luminor Arc 65,Friday,0-8,2,2021-08-13
Luminor Arc 65,Sunday,16-20,2,2021-08-08
Luminor Arc 65,Monday,16-20,2,2021-08-02
StellarWave A9,Saturday,20-24,3,2021-07-31
StellarWave A9,Thursday,16-20,194,2021-07-29
Luminor Arc 65,Saturday,12-16,2,2021-07-24
StellarWave A9,Monday,8-12,1,2021-07-19
StellarWave A9,Sunday,0-8,240,2021-07-18
StellarWave A9,Wednesday,16-20,232,2021-07-14
StellarWave A9,Friday,16-20,232,2021-07-09
StellarWave A9,Wednesday,8-12,0,2021-07-07
Luminor Arc 65,Thursday,16-20,2,2021-07-01
Luminor Arc 65,Monday,16-20,2,2021-06-28
Luminor Arc 65,Tuesday,0-8,0,2021-06-22
Luminor Arc 65,Sunday,8-12,2,2021-06-20
Luminor Arc 65,Tuesday,20-24,2,2021-06-15
StellarWave A9,Wednesday,8-12,1,2021-06-09
StellarWave A9,Sunday,20-24,1,2021-06-06
StellarWave A9,Sunday,16-20,3,2021-05-30
StellarWave A9,Thursday,16-20,206,2021-05-27
StellarWave A9,Friday,0-8,0,2021-05-21
Luminor Arc 65,Saturday,16-20,1,2021-05-15
StellarWave A9,Monday,0-8,0,2021-05-10
StellarWave A9,Friday,8-12,6,2021-05-07
Luminor Arc 65,Friday,20-24,5,2021-04-30
StellarWave A9,Friday,12-16,100,2021-04-23
StellarWave A9,Tuesday,12-16,70,2021-04-20
Luminor Arc 65,Thursday,20-24,2,2021-04-15
Luminor Arc 65,Sunday,0-8,1,2021-04-11
Luminor Arc 65,Saturday,20-24,0,2021-04-10
StellarWave A9,Thursday,8-12,1,2021-04-08
StellarWave A9,Friday,0-8,2,2021-04-02
Luminor Arc 65,Sunday,20-24,1,2021-03-28
StellarWave A9,Monday,16-20,202,2021-03-22
StellarWave A9,Sunday,20-24,1,2021-03-21
Luminor Arc 65,Thursday,12-16,251,2021-03-18
Luminor Arc 65,Saturday,0-8,5,2021-03-13
StellarWave A9,Monday,0-8,1,2021-03-08
Luminor Arc 65,Saturday,16-20,2,2021-03-06
StellarWave A9,Wednesday,8-12,0,2021-03-03
StellarWave A9,Monday,0-8,1,2021-03-01
Luminor Arc 65,Friday,0-8,9,2021-02-26
StellarWave A9,Monday,0-8,1,2021-02-22
Luminor Arc 65,Thursday,20-24,0,2021-02-18
Luminor Arc 65,Monday,16-20,2,2021-02-15
Luminor Arc 65,Tuesday,0-8,0,2021-02-09
Luminor Arc 65,Thursday,12-16,264,2021-02-04
StellarWave A9,Saturday,0-8,275,2021-01-30
StellarWave A9,Thursday,16-20,250,2021-01-28
Luminor Arc 65,Monday,0-8,0,2021-01-25
StellarWave A9,Sunday,12-16,67,2021-01-24
StellarWave A9,Saturday,0-8,254,2021-01-23
Luminor Arc 65,Saturday,12-16,1,2021-01-16
Luminor Arc 65,Friday,0-8,0,2021-01-15
StellarWave A9,Thursday,12-16,77,2021-01-14
StellarWave A9,Monday,16-20,241,2021-01-11
StellarWave A9,Sunday,0-8,267,2021-01-10
Luminor Arc 65,Friday,12-16,288,2021-01-08
StellarWave A9,Tuesday,20-24,221,2021-01-05
StellarWave A9,Saturday,8-12,232,2021-01-02
StellarWave A9,Saturday,20-24,1,2020-12-26
StellarWave A9,Monday,20-24,248,2020-12-21
StellarWave A9,Friday,0-8,0,2020-12-18
StellarWave A9,Tuesday,8-12,0,2020-12-15
StellarWave A9,Wednesday,16-20,181,2020-12-09
Luminor Arc 65,Sunday,8-12,0,2020-12-06
Luminor Arc 65,Sunday,0-8,4,2020-11-29
Luminor Arc 65,Monday,8-12,252,2020-11-23
Luminor Arc 65,Tuesday,16-20,0,2020-11-17
Luminor Arc 65,Saturday,16-20,0,2020-11-14
StellarWave A9,Tuesday,16-20,223,2020-11-10
Luminor Arc 65,Friday,12-16,273,2020-11-06
StellarWave A9,Saturday,20-24,0,2020-10-31
StellarWave A9,Thursday,16-20,191,2020-10-29
StellarWave A9,Sunday,8-12,218,2020-10-25
Luminor Arc 65,Thursday,12-16,251,2020-10-22
StellarWave A9,Saturday,0-8,282,2020-10-17
StellarWave A9,Tuesday,12-16,79,2020-10-13
Luminor Arc 65,Wednesday,20-24,2,2020-10-07
StellarWave A9,Saturday,16-20,1,2020-10-03
StellarWave A9,Saturday,20-24,3,2020-09-26
Luminor Arc 65,Wednesday,12-16,248,2020-09-23
Luminor Arc 65,Saturday,8-12,0,2020-09-19
StellarWave A9,Friday,20-24,290,2020-09-18
Luminor Arc 65,Sunday,12-16,2,2020-09-13
Luminor Arc 65,Friday,12-16,244,2020-09-11
StellarWave A9,Monday,20-24,247,2020-09-07
Luminor Arc 65,Sunday,16-20,1,2020-09-06
StellarWave A9,Sunday,12-16,79,2020-08-30
Luminor Arc 65,Tuesday,12-16,243,2020-08-25
Luminor Arc 65,Tuesday,12-16,219,2020-08-18
StellarWave A9,Monday,16-20,188,2020-08-17
StellarWave A9,Thursday,12-16,93,2020-08-13
Luminor Arc 65,Thursday,8-12,267,2020-08-06
StellarWave A9,Thursday,20-24,263,2020-07-30
Luminor Arc 65,Saturday,0-8,18,2020-07-25
Luminor Arc 65,Wednesday,16-20,2,2020-07-22
Luminor Arc 65,Thursday,8-12,269,2020-07-16
StellarWave A9,Thursday,20-24,253,2020-07-09
Luminor Arc 65,Monday,12-16,261,2020-07-06
Luminor Arc 65,Thursday,12-16,280,2020-07-02
StellarWave A9,Sunday,16-20,2,2020-06-28
Luminor Arc 65,Saturday,8-12,2,2020-06-27
Luminor Arc 65,Sunday,8-12,0,2020-06-21
StellarWave A9,Tuesday,12-16,61,2020-06-16
Luminor Arc 65,Wednesday,16-20,0,2020-06-10
StellarWave A9,Thursday,20-24,286,2020-06-04
Luminor Arc 65,Saturday,12-16,2,2020-05-30
Luminor Arc 65,Saturday,8-12,2,2020-05-23
StellarWave A9,Saturday,12-16,89,2020-05-16
StellarWave A9,Sunday,8-12,221,2020-05-10
Luminor Arc 65,Friday,0-8,3,2020-05-08
StellarWave A9,Monday,12-16,50,2020-05-04
StellarWave A9,Tuesday,0-8,1,2020-04-28
Luminor Arc 65,Monday,8-12,222,2020-04-27
Luminor Arc 65,Friday,8-12,273,2020-04-24
Luminor Arc 65,Saturday,0-8,12,2020-04-18
Luminor Arc 65,Friday,12-16,306,2020-04-17
Luminor Arc 65,Thursday,16-20,0,2020-04-16
StellarWave A9,Saturday,0-8,283,2020-04-11
Luminor Arc 65,Tuesday,16-20,2,2020-04-07
Luminor Arc 65,Tuesday,20-24,0,2020-03-31
Luminor Arc 65,Saturday,12-16,1,2020-03-28
StellarWave A9,Monday,8-12,1,2020-03-23
StellarWave A9,Tuesday,8-12,1,2020-03-17
StellarWave A9,Friday,20-24,255,2020-03-13
StellarWave A9,Monday,20-24,218,2020-03-09
Luminor Arc 65,Friday,0-8,0,2020-03-06
Luminor Arc 65,Friday,20-24,1,2020-02-28
StellarWave A9,Friday,12-16,104,2020-02-21
Luminor Arc 65,Wednesday,8-12,249,2020-02-19
StellarWave A9,Tuesday,16-20,206,2020-02-18
StellarWave A9,Wednesday,20-24,277,2020-02-12
